"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"X1",0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0,0,0,0,0,0,1,0,0,0,0
"X3",0,0,0,0,0,0,0,1,0,0,0,0
"X4",0,0,0,0,0,0,0,0,0,0,0,0
"X5",0,0,0,0,0,0,0,0,0,0,0,0
"X6",0,0,0,0,0,0,0,0,0,0,0,0
"X7",0,0,0,0,0,0,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0,0,0
"X11",0,0,0,0,0,0,0,0,0,0,0,0
"X12",0,0,0,0,0,0,0,0,0,0,0,0
"X13",1,0,0,0,0,0,0,0,0,0,0,0
"X14",0,0,0,0,0,0,0,0,0,0,0,0
"X15",0,0,0,0,0,0,0,0,0,0,0,0
"X16",0,0,0,0,0,0,0,0,0,0,0,0
"X17",0,0,0,0,0,0,0,0,0,0,0,0
"X18",0,0,0,0,0,0,0,0,0,0,0,0
"X19",0,0,0,0,0,0,0,0,0,0,0,0
"X20",0,0,0,0,0,0,0,0,0,0,0,0
"X21",0,0,0,0,0,0,0,1,0,0,0,1
"X22",0,0,0,0,0,0,0,0,0,0,0,0
"X23",0,0,0,0,0,0,0,0,0,0,0,0
"X24",0,0,0,0,0,0,0,0,0,0,0,0
"X25",0,0,0,0,0,0,0,0,0,0,0,0
"X26",0,0,0,0,0,0,0,0,0,0,0,1
"X27",0,0,0,0,0,1,0,0,0,0,0,0
"X28",0,0,0,0,0,0,0,1,0,0,0,0
"X29",0,0,0,1,0,0,0,0,0,0,0,0
"X30",0,0,0,0,0,0,0,0,1,0,0,0
"X31",0,0,0,0,0,0,0,0,0,0,0,0
"X32",0,0,0,0,0,0,0,0,0,0,0,1
"X33",0,0,0,0,0,0,0,1,1,0,0,0
"X34",0,0,0,0,0,0,0,0,0,0,0,1
"X35",0,0,0,0,0,0,0,0,0,0,0,0
"X36",0,0,0,0,0,0,0,0,0,0,0,0
"X37",0,0,0,0,0,1,0,1,0,0,0,0
"X38",0,0,0,0,0,0,0,0,1,0,0,0
"X39",0,0,1,0,0,0,1,0,1,0,0,0
"X40",0,0,0,0,0,0,0,1,0,0,0,0
"X41",0,0,0,0,0,0,0,0,0,0,0,0
"X42",0,0,0,0,0,0,0,0,0,0,0,0
